id,name,content,qty,created_at,updated_at,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
781,"Średni jasny brąz 35 cm, 40 g","1111111169, Średni jasny brąz 35 cm, 40 g",1,,,,320.000000,1111111169,,,,,,włosy
782,"Średni brąz 42 cm, 55 g","1111111170, Średni brąz 42 cm, 55 g",1,,,,550.000000,1111111170,,,,,,włosy
783,"Średni brąz 35 cm, 37 g","1111111171, Średni brąz 35 cm, 37 g",1,,,,300.000000,1111111171,,,,,,włosy
784,"Średni jasny brąz 35 cm, 94 g","1111111172, Średni jasny brąz 35 cm, 94 g",1,,,,750.000000,1111111172,,,,,,włosy
785,"Średni brąz 39 cm, 72 g","1111111174, Średni brąz 39 cm, 72 g",1,,,,650.000000,1111111174,,,,,,włosy
786,"Średni brąz 43 cm, 74 g","1111111175, Średni brąz 43 cm, 74 g",1,,,,590.000000,1111111175,,,,,,włosy
787,"Średni brąz 36 cm, 60 g","1111111176, Średni brąz 36 cm, 60 g",1,,,,480.000000,1111111176,,,,,,włosy
788,"Ciemna wiśnia 36 cm, 44 g","1111111177, Ciemna wiśnia 36 cm, 44 g",1,,,,220.000000,1111111177,,,,,,włosy
789,"Średni brąz 42 cm, 100 g","1111111179, Średni brąz 42 cm, 100 g",1,,,,1000.000000,1111111179,,,,,,włosy
790,"Średni brąz 32 cm, 57 g","1111111181, Średni brąz 32 cm, 57 g",1,,,,450.000000,1111111181,,,,,,włosy
791,Jasny brąz 42 cm 36 g,"1111111183, Jasny brąz 42 cm 36 g",1,,,,360.000000,1111111183,,,,,,włosy
792,"Średni brąz 40 cm, 95 g","1111111185, Średni brąz 40 cm, 95 g",1,,,,950.000000,1111111185,,,,,,włosy
793,"Średni brąz 40 cm, 57 g","1111111186, Średni brąz 40 cm, 57 g",1,,,,460.000000,1111111186,,,,,,włosy
794,"Średni jasny brąz 38 cm, 134 g","1111111187, Średni jasny brąz 38 cm, 134 g",1,,,,1070.000000,1111111187,,,,,,włosy
795,"Średni brąz 44 cm, 52 g","1111111188, Średni brąz 44 cm, 52 g",1,,,,470.000000,1111111188,,,,,,włosy
796,"Złocisty jasny brąz 35 cm, 112 g","1111111189, Złocisty jasny brąz 35 cm, 112 g",1,,,,890.000000,1111111189,,,,,,włosy
797,"Jasny brąz 45 cm, 110 g","1111111190, Jasny brąz 45 cm, 110 g",0,,,,990.000000,1111111190,,,,,,włosy
798,"Średni brąz 36 cm, 64 g","1111111191, Średni brąz 36 cm, 64 g",1,,,,510.000000,1111111191,,,,,,włosy
799,"Średni brąz 40 cm, 57 g","1111111192, Średni brąz 40 cm, 57 g",1,,,,570.000000,1111111192,,,,,,włosy
800,"Średni jasny brąz 34 cm, 41 g","1111111195, Średni jasny brąz 34 cm, 41 g",1,,,,330.000000,1111111195,,,,,,włosy
801,"Średni brąz kasztan 35 cm, 46 g","1111111196, Średni brąz kasztan 35 cm, 46 g",1,,,,230.000000,1111111196,,,,,,włosy
802,"Złocisty jasny brąz 33 cm, 44 g","1111111197, Złocisty jasny brąz 33 cm, 44 g",0,,,,350.000000,1111111197,,,,,,włosy
