id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #613",1925,,,6.09,,,55,0.7,falowane,#613,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #30",150,,,6.09,,,55,0.7,falowane,#30,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #33",0,,,6.09,,,55,0.7,falowane,#33,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #130",0,,,6.09,,,55,0.7,falowane,#130,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #60",1225,,,6.09,,,55,0.7,falowane,#60,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, falowane, 55, #PB",0,,,6.09,,,55,0.7,falowane,#PB,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #1",0,,,6.09,,,55,0.7,kręcone,#1,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #1b",350,,,6.09,,,55,0.7,kręcone,#1b,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #2",0,,,6.09,,,55,0.7,kręcone,#2,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #4",400,,,6.09,,,55,0.7,kręcone,#4,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #6",725,,,6.09,,,55,0.7,kręcone,#6,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #8",650,,,6.09,,,55,0.7,kręcone,#8,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #10",0,,,6.09,,,55,0.7,kręcone,#10,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #12",0,,,6.09,,,55,0.7,kręcone,#12,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #16",700,,,6.09,,,55,0.7,kręcone,#16,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #18",450,,,6.09,,,55,0.7,kręcone,#18,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #20",300,,,6.09,,,55,0.7,kręcone,#20,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #18/22",0,,,6.09,,,55,0.7,kręcone,#18/22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #22",900,,,6.09,,,55,0.7,kręcone,#22,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #24",1575,,,6.09,,,55,0.7,kręcone,#24,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #27",0,,,6.09,,,55,0.7,kręcone,#27,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #613",1075,,,6.09,,,55,0.7,kręcone,#613,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #30",0,,,6.09,,,55,0.7,kręcone,#30,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #33",0,,,6.09,,,55,0.7,kręcone,#33,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, ,kręcone, 55, #130",0,,,6.09,,,55,0.7,kręcone,#130,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #60",0,,,6.09,,,55,0.7,kręcone,#60,włosy
,Włosy Słowiańskie pod keratynę,"Włosy Słowiańskie pod keratynę, kręcone, 55, #PM",300,,,6.09,,,55,0.7,kręcone,#PM,włosy
